damagedZipCode,0
0,1
23169,1
30058,1
31555,1
32018,1
32147,1
33004,1
33009,1
33010,34
33012,35
33013,15
33014,30
33015,240
33016,18
33018,35
33023,2
33025,4
33027,1
33029,1
33030,5
33031,2
33032,38
33033,7
33035,1
33050,1
33054,122
33055,246
33056,229
33082,1
33101,2
33106,1
33107,1
33109,3
33115,1
33122,33
33124,6
33125,12443
33126,9426
33127,7118
33128,1669
33129,1541
33130,4476
33131,821
33132,813
33133,4752
33134,2266
33135,7885
33136,3911
33137,2991
33138,4407
33139,33
33140,77
33141,226
33142,14029
33143,2674
33144,4908
33145,5430
33146,125
33147,13134
33148,2
33149,16
33150,7454
33154,51
33155,7529
33156,2292
33157,8989
33158,104
33159,3
33160,151
33161,6522
33162,3512
33163,1
33164,2
33165,10402
33166,565
33167,4705
33168,4997
33169,7819
33170,3016
33171,1
33172,6012
33173,4208
33174,4962
33175,8554
33176,6802
33177,10595
33178,591
33179,6003
33180,667
33181,988
33182,1763
33183,4616
33184,3663
33185,3163
33186,9108
33187,3069
33188,1
33189,1973
33190,1051
33193,6807
33194,759
33196,6993
33197,2
33198,1
33199,3
33231,1
33233,1
33242,5
33247,2
33255,1
33256,1
33257,3
33261,1
33265,1
33317,2
33334,1
33440,1
33789,1
33823,1
33928,1
33954,1
34126,1
34194,1
34608,1
44176,1
55054,1
