,pop_total,median_income,state,ZCTA5CE10
246,14162,21257,12,33873
247,32019,30485,12,33884
248,813,35278,12,33921
249,195,,12,33924
250,27061,63384,12,33629
251,25699,40285,12,33703
252,24738,26088,12,33712
253,12713,20783,12,33513
254,4728,19345,12,33538
255,25907,47259,12,33547
256,20576,36826,12,33606
257,16781,32352,12,33616
258,52749,25297,12,33068
259,408,78942,12,33109
260,59073,16886,12,33142
261,29344,20990,12,33144
262,25298,26919,12,33189
263,21651,38738,12,33323
264,11622,44706,12,33332
265,72546,32651,12,33411
266,21610,31720,12,33431
267,27323,26547,12,33441
268,34941,31475,12,33594
269,17998,37639,12,33549
270,28442,35287,12,33569
271,23170,29565,12,33573
272,15586,46981,12,33602
273,39803,34731,12,33624
274,34222,31631,12,33710
275,18236,31305,12,33759
276,8355,31269,12,33762
277,30365,24800,12,33771
278,17595,28677,12,33773
279,18097,31843,12,33774
280,51139,28372,12,33810
281,38214,38200,12,33813
282,28884,26173,12,33830
283,7524,25904,12,33834
284,30634,26353,12,33837
285,4358,19330,12,33838
286,36513,32191,12,33908
287,4108,24854,12,33922
288,10566,35205,12,33931
289,23513,21439,12,33935
290,0,,12,33945
291,33390,23354,12,33952
292,13342,25973,12,33980
293,60679,37470,12,33027
294,31712,17334,12,33013
295,58427,21862,12,33033
296,9443,33054,12,33050
297,54707,27198,12,33063
298,27358,41137,12,33067
299,28138,25453,12,33069
300,61156,15807,12,33125
301,31902,18189,12,33127
302,28609,43003,12,34638
303,7443,39254,12,34688
304,22380,27630,12,34714
305,18241,27337,12,34715
306,31436,30588,12,34772
307,34588,24187,12,34653
308,25135,23787,12,34982
309,17767,34562,12,34233
310,17106,24259,12,34951
311,10258,20548,12,34956
312,20877,21901,12,34972
313,23952,23392,12,34974
314,57134,22436,12,34744
315,5932,21564,12,34753
316,69976,35719,12,34787
317,13217,35869,12,34236
318,14988,58345,12,33301
319,18351,36177,12,33304
320,28687,27555,12,33401
321,31551,22989,12,33407
322,35089,37763,12,33410
323,28964,31191,12,33442
324,47735,22079,12,33461
325,13729,47446,12,33019
326,48161,39196,12,33029
327,6623,46264,12,33042
328,58171,27414,12,33065
329,58714,39506,12,33458
330,23325,38533,12,33486
331,15150,44156,12,33498
332,58833,31692,12,33511
333,17123,25883,12,33534
334,15148,21548,12,33815
335,3356,28835,12,33839
336,33514,35833,12,34683
337,11408,22983,12,34690
338,43143,21797,12,34758
339,6079,21960,12,34946
340,23204,31322,12,34957
341,29999,39420,12,34990
342,17924,24350,12,34613
343,7195,26456,12,34614
344,29395,40168,12,34639
345,22935,24517,12,34654
346,44307,23163,12,34746
347,45836,48579,12,34786
348,14155,19289,12,34947
349,7663,34156,12,34949
350,18011,40925,12,34105
351,47356,31429,12,34135
352,651,24497,12,34137
353,17834,38369,12,34145
354,1022,20778,12,33848
355,1153,27524,12,33851
356,958,20645,12,33865
357,40519,25292,12,33880
358,34340,21993,12,33881
359,37492,25186,12,33905
360,31750,27303,12,33909
361,38281,32324,12,33914
362,930,,12,33930
363,11436,26179,12,33955
364,3489,25607,12,33956
365,15515,25937,12,33972
366,15100,28088,12,33983
367,41626,24535,12,33169
368,40844,25550,12,33309
369,46786,25015,12,33319
370,47413,27182,12,33321
371,12794,27808,12,33403
372,29339,22890,12,33404
373,40926,42274,12,33418
374,36166,26244,12,33435
375,19761,21287,12,33440
376,22200,29936,12,33455
377,8513,16457,12,33476
378,12608,45753,12,33477
379,14067,42848,12,33478
380,15092,26430,12,33527
381,1133,27004,12,33585
382,7702,21613,12,33597
383,21366,27561,12,33603
384,36270,21190,12,33613
385,2751,32109,12,33621
386,30743,51794,12,33626
387,23443,29062,12,33782
388,29460,28775,12,33803
389,25529,21973,12,33805
390,24429,26905,12,33907
391,18646,36042,12,33912
392,6243,31946,12,33920
393,25141,37904,12,33928
394,24517,19213,12,33936
395,18908,17466,12,32805
396,35737,26145,12,32817
397,52886,21114,12,32839
398,7564,21419,12,32948
399,20966,36004,12,32952
400,23939,30620,12,32953
401,38889,33642,12,32955
402,22319,23349,12,32967
403,8036,29195,12,32456
404,22562,29638,12,32504
405,26354,22430,12,32505
406,36664,28678,12,32506
407,31036,30683,12,32507
408,19066,39868,12,32541
409,2959,43405,12,32564
410,2853,30109,12,32568
411,10338,33755,12,32579
412,20105,20036,12,32609
413,36292,24178,12,34207
414,47710,21673,12,34741
415,39977,24929,12,34748
416,40713,25150,12,34759
417,21052,27218,12,34771
418,16035,30601,12,34984
419,14992,42506,12,34134
420,18071,26746,12,34237
421,13129,43666,12,34103
422,23988,37643,12,34110
423,35498,35341,12,34120
424,3997,39047,12,34201
425,38971,29128,12,34203
426,32294,25237,12,34205
427,46357,26796,12,34221
428,3192,17091,12,34449
429,22487,23240,12,34601
430,21354,31955,12,34747
431,18193,24433,12,34788
432,44632,29274,12,34997
433,8338,25412,12,34429
434,8403,24026,12,34607
435,35172,30674,12,34209
436,15568,37798,12,34241
437,104,,12,34661
438,5187,22313,12,34945
439,0,,12,34101
440,337,,12,34140
441,8898,41993,12,34211
442,21244,40674,12,34212
443,4517,25277,12,34269
444,11511,26412,12,34288
445,3481,43516,12,34289
446,5626,28873,12,34291
447,0,,12,34445
448,12608,27310,12,34604
449,8411,31122,12,34637
450,5380,19834,12,32628
451,14037,36412,12,32669
452,160,72800,12,32692
453,22940,30669,12,32701
454,1832,30207,12,32709
455,9427,20725,12,32052
456,4368,21000,12,32058
457,10184,25422,12,32038
458,2418,24301,12,32059
459,2283,24111,12,32102
460,32847,20619,12,32114
461,26425,22690,12,32117
462,17520,28052,12,32118
463,7570,26606,12,32132
464,43876,28739,12,32137
465,51165,30079,12,32174
466,7547,30584,12,32204
467,30305,29313,12,32205
